                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.94341,                 1.6357,                 1.6856,                 1.3242,                0.68578,                0.32022,                0.47094,                  0.323,                0.68578,                0.32022,                0.49802,                0.36379,                 1.0828,                  2.494,                 2.0918,                 1.5157,              0.0010626,              0.0010626,              0.0010626
                     46,                 1.0953,                 1.6692,                 1.7619,                 1.4312,                0.68578,                0.32022,                0.47094,                  0.323,                0.68578,                0.32022,                0.49802,                0.36379,                 1.0828,                  2.494,                 2.0918,                 1.5157,              0.0010615,              0.0010615,              0.0010615
                     47,                 1.1117,                 1.7694,                 1.7463,                 1.4906,                0.65345,                0.33676,                0.44541,                0.29353,                0.35215,                0.43272,                0.45917,                0.34864,                 1.2022,                 3.1983,                 2.4646,                 1.6022,              0.0010604,              0.0010604,              0.0010604
                     48,                 1.1257,                 1.7594,                 1.8051,                 1.4409,                0.65345,                0.33676,                0.44541,                0.29353,                0.35215,                0.43272,                0.45917,                0.34864,                 1.2022,                 3.1983,                 2.4646,                 1.6022,              0.0010593,              0.0010593,              0.0010593
                     49,                 1.0817,                 1.8444,                 1.8055,                 1.4376,                0.38001,                0.37254,                0.39554,                0.25973,                0.43977,                0.42206,                0.48786,                0.32431,                 1.3122,                 2.9411,                 2.8117,                 1.6619,              0.0010582,              0.0010582,              0.0010582
                     50,                 1.0439,                  1.679,                 1.7277,                 1.4333,                0.38001,                0.37254,                0.39554,                0.25973,                0.43977,                0.42206,                0.48786,                0.32431,                 1.3122,                 2.9411,                 2.8117,                 1.6619,              0.0010571,              0.0010571,              0.0010571
                     51,                 0.9846,                 1.4506,                 1.6179,                 1.3305,                0.38001,                0.37254,                0.39554,                0.25973,                0.43977,                0.42206,                0.48786,                0.32431,                 1.3122,                 2.9411,                 2.8117,                 1.6619,               0.001056,               0.001056,               0.001056
                     52,                 1.0327,                 1.7563,                  1.697,                 1.4049,                 0.8748,                0.33745,                 0.4045,                0.26183,                0.93631,                0.38279,                0.46892,                0.30682,                 1.2927,                 2.7508,                 2.5303,                 1.6801,              0.0010549,              0.0010549,              0.0010549
                     53,                 1.0697,                  1.438,                 1.8182,                 1.4918,                 0.8748,                0.33745,                 0.4045,                0.26183,                0.93631,                0.38279,                0.46892,                0.30682,                 1.2927,                 2.7508,                 2.5303,                 1.6801,              0.0010538,              0.0010538,              0.0010538
                     54,                 1.0587,                 1.5516,                 1.6321,                 1.4071,                0.41495,                0.38493,                0.39562,                0.23757,                0.47275,                0.42022,                0.43821,                0.27555,                 1.3295,                 3.0116,                 2.3412,                 1.6429,              0.0010527,              0.0010527,              0.0010527
                     55,                 1.1015,                 1.8891,                 1.7916,                  1.495,                0.41495,                0.38493,                0.39562,                0.23757,                0.47275,                0.42022,                0.43821,                0.27555,                 1.3295,                 3.0116,                 2.3412,                 1.6429,              0.0010516,              0.0010516,              0.0010516
                     56,                 1.0521,                  1.386,                 1.6821,                 1.4627,                0.21849,                0.40147,                 0.3954,                 0.2032,                0.93053,                0.23682,                0.37651,                  0.234,                  1.533,                 2.7771,                 2.5486,                 1.7645,              0.0010505,              0.0010505,              0.0010505
                     57,                0.99667,                 1.6554,                 1.5915,                 1.3513,                0.21849,                0.40147,                 0.3954,                 0.2032,                0.93053,                0.23682,                0.37651,                  0.234,                  1.533,                 2.7771,                 2.5486,                 1.7645,              0.0010494,              0.0010494,              0.0010494
                     58,                 1.0013,                 1.4625,                 1.6769,                 1.3702,                0.26604,                0.50993,                0.44784,                0.23082,                0.86054,                0.25551,                0.39971,                0.26878,                 1.4544,                 2.3238,                 2.3792,                 1.7072,              0.0010483,              0.0010483,              0.0010483
